session_id,label,step_0_delta_time,step_0_step_gap,step_0_loss_val,step_0_loss_velocity,step_0_time_per_index,step_0_is_compute_phase,step_0_cum_time_norm,step_1_delta_time,step_1_step_gap,step_1_loss_val,step_1_loss_velocity,step_1_time_per_index,step_1_is_compute_phase,step_1_cum_time_norm,step_2_delta_time,step_2_step_gap,step_2_loss_val,step_2_loss_velocity,step_2_time_per_index,step_2_is_compute_phase,step_2_cum_time_norm,step_3_delta_time,step_3_step_gap,step_3_loss_val,step_3_loss_velocity,step_3_time_per_index,step_3_is_compute_phase,step_3_cum_time_norm,step_4_delta_time,step_4_step_gap,step_4_loss_val,step_4_loss_velocity,step_4_time_per_index,step_4_is_compute_phase,step_4_cum_time_norm,step_5_delta_time,step_5_step_gap,step_5_loss_val,step_5_loss_velocity,step_5_time_per_index,step_5_is_compute_phase,step_5_cum_time_norm,step_6_delta_time,step_6_step_gap,step_6_loss_val,step_6_loss_velocity,step_6_time_per_index,step_6_is_compute_phase,step_6_cum_time_norm,step_7_delta_time,step_7_step_gap,step_7_loss_val,step_7_loss_velocity,step_7_time_per_index,step_7_is_compute_phase,step_7_cum_time_norm,step_8_delta_time,step_8_step_gap,step_8_loss_val,step_8_loss_velocity,step_8_time_per_index,step_8_is_compute_phase,step_8_cum_time_norm,step_9_delta_time,step_9_step_gap,step_9_loss_val,step_9_loss_velocity,step_9_time_per_index,step_9_is_compute_phase,step_9_cum_time_norm,step_10_delta_time,step_10_step_gap,step_10_loss_val,step_10_loss_velocity,step_10_time_per_index,step_10_is_compute_phase,step_10_cum_time_norm
10,0,0,0,0,0,0,0,0,1.059,1,1.7921,1.6922568460812089,1.059,1,0.0353,0.599,1,1.4164,-0.62721202,0.599,1,0.055266666666666665,0.594,1,1.1137,-0.50959596,0.594,1,0.07506666666666666,0.592,1,0.8979,-0.364527027,0.592,1,0.0948,0.631,1,0.7205,-0.281141046,0.631,1,0.11583333333333333,0.582,1,0.5922,-0.220446735,0.582,1,0.13523333333333334,0.604,1,0.4685,-0.204801325,0.604,1,0.15536666666666665,0.759,0,0,-0.617259552,0.759,0,0.18066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,1.66,79,0.2836,0.17084337349397594,0.0210126582278481,1,0.05533333333333333,1.161,79,0.0115,-0.234366925,0.01469620253164557,1,0.09403333333333334,1.161,79,0.7521,0.6378983634797588,0.01469620253164557,1,0.13273333333333334,1.161,79,0.9902,0.20508182601205854,0.01469620253164557,1,0.17143333333333333,1.161,79,0.001,-0.852024117,0.01469620253164557,1,0.21013333333333334,1.161,79,0.001,0,0.01469620253164557,1,0.24883333333333332,2.247,0,0,-0.000445038,2.247,0,0.3237333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1.194,1,1.4374,1.203852596314908,1.194,1,0.039799999999999995,0.693,1,1.1436,-0.423953824,0.693,1,0.0629,0.713,1,0.8989,-0.343197756,0.713,1,0.08666666666666667,0.661,1,0.702,-0.297881997,0.661,1,0.1087,0.698,1,0.5711,-0.187535817,0.698,1,0.13196666666666668,0.626,1,0.4667,-0.166773163,0.626,1,0.15283333333333332,0.676,1,0.3538,-0.167011834,0.676,1,0.17536666666666667,0.704,1,0.2661,-0.124573864,0.704,1,0.19883333333333333,0.977,0,0,-0.272364381,0.977,0,0.2314,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0.945,53,0.0951,0.10063492063492065,0.017830188679245282,1,0.0315,0.445,53,0.001,-0.211460674,0.00839622641509434,1,0.04633333333333333,0.445,53,0.3114,0.6975280898876405,0.00839622641509434,1,0.06116666666666667,0.446,53,0.5405,0.5136771300448429,0.008415094339622642,1,0.07603333333333334,0.445,53,0.2722,-0.602921348,0.00839622641509434,1,0.09086666666666667,0.445,53,0.001,-0.609438202,0.00839622641509434,1,0.10569999999999999,0.445,53,0.6502,1.458876404494382,0.00839622641509434,1,0.12053333333333334,0.009,1,0.4094,-26.75555556,0.009,1,0.12083333333333333,3.277,0,0,-0.12493134,3.277,0,0.23006666666666667,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0.702,1,1.8824,2.6814814814814816,0.702,1,0.023399999999999997,0.181,1,1.5222,-1.990055249,0.181,1,0.029433333333333332,0.181,1,1.2211,-1.663535912,0.181,1,0.03546666666666667,0.184,1,0.988,-1.266847826,0.184,1,0.0416,0.17,1,0.7736,-1.261176471,0.17,1,0.047266666666666665,0.149,1,0.6376,-0.912751678,0.149,1,0.05223333333333333,0.208,1,0.5215,-0.558173077,0.208,1,0.059166666666666666,0.628,0,0,-0.830414013,0.628,0,0.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,1.812,88,0.001,0.0005518763796909492,0.02059090909090909,1,0.0604,1.313,88,0.669,0.5087585681645088,0.014920454545454544,1,0.10416666666666667,1.313,88,0.3318,-0.256816451,0.014920454545454544,1,0.14793333333333333,1.312,88,0.0773,-0.193978659,0.01490909090909091,1,0.19166666666666668,1.313,88,0.001,-0.058111196,0.014920454545454544,1,0.23543333333333333,1.313,88,0.1214,0.0916984006092917,0.014920454545454544,1,0.2792,1.313,88,0.5255,0.30776846915460776,0.014920454545454544,1,0.3229666666666667,2.153,0,0,-0.244078031,2.153,0,0.3947333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1.784,1,1.3272,0.7439461883408072,1.784,1,0.05946666666666667,1.258,1,1.0701,-0.204372019,1.258,1,0.10139999999999999,1.258,1,0.845,-0.178934817,1.258,1,0.14333333333333334,1.288,1,0.6873,-0.122437888,1.288,1,0.18626666666666666,1.318,1,0.536,-0.114795144,1.318,1,0.2302,1.303,1,0.4156,-0.092402149,1.303,1,0.27363333333333334,0.544,0,0,-0.763970588,0.544,0,0.2917666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,1.396,1,1.4961,1.071704871060172,1.396,1,0.04653333333333333,0.874,1,1.1901,-0.350114416,0.874,1,0.07566666666666667,0.95,1,0.9529,-0.249684211,0.95,1,0.10733333333333334,1.234,0,0,-0.772204214,1.234,0,0.14846666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,1.043,1,1.9039,1.8254074784276126,1.043,1,0.03476666666666666,0.512,1,1.5051,-0.77890625,0.512,1,0.05183333333333333,0.53,1,1.2027,-0.570566038,0.53,1,0.06949999999999999,0.531,1,0.9465,-0.482485876,0.531,1,0.0872,0.481,1,0.764,-0.379417879,0.481,1,0.10323333333333333,0.526,1,0.6148,-0.28365019,0.526,1,0.12076666666666667,0.478,1,0.5058,-0.228033473,0.478,1,0.1367,1.085,0,0,-0.466175115,1.085,0,0.17286666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1.673,1,1.3856,0.8282127913927076,1.673,1,0.055766666666666666,1.152,1,1.1166,-0.233506944,1.152,1,0.09416666666666668,1.125,1,0.887,-0.204088889,1.125,1,0.13166666666666668,1.197,1,0.717,-0.142021721,1.197,1,0.17156666666666667,0.906,0,0,-0.791390728,0.906,0,0.20176666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,1.343,59,0.3086,0.22978406552494415,0.02276271186440678,1,0.04476666666666666,0.844,59,0.8232,0.6097156398104266,0.014305084745762711,1,0.07289999999999999,0.844,59,0.4554,-0.435781991,0.014305084745762711,1,0.10103333333333334,0.844,59,0.9186,0.5488151658767773,0.014305084745762711,1,0.12916666666666668,0.844,59,0.001,-1.087203791,0.014305084745762711,1,0.15730000000000002,0.843,59,0.001,0,0.014288135593220338,1,0.1854,0.844,59,0.2651,0.312914691943128,0.014305084745762711,1,0.21353333333333332,3.761,0,0,-0.070486573,3.761,0,0.3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,2.481,1,1.7981,0.7247480854494156,2.481,1,0.0827,1.94,1,1.4487,-0.180103093,1.94,1,0.14736666666666667,1.908,1,1.1504,-0.156341719,1.908,1,0.21096666666666666,1.916,1,0.9402,-0.109707724,1.916,1,0.2748333333333333,1.172,0,0,-0.80221843,1.172,0,0.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,2.3,1,1.3146,0.5715652173913044,2.3,1,0.07666666666666666,1.788,1,1.0516,-0.147091723,1.788,1,0.13626666666666667,1.801,1,0.8591,-0.106885064,1.801,1,0.1963,1.737,1,0.7061,-0.088082902,1.737,1,0.25420000000000004,1.753,1,0.5469,-0.090815744,1.753,1,0.3126333333333333,1.809,1,0.4538,-0.051464898,1.809,1,0.37293333333333334,1.748,1,0.3784,-0.043135011,1.748,1,0.43119999999999997,1.193,0,0,-0.317183571,1.193,0,0.47096666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,1.04,99,0.0407,0.039134615384615386,0.010505050505050505,1,0.034666666666666665,0.54,99,0.0797,0.0722222222222222,0.005454545454545455,1,0.05266666666666667,0.54,99,0.2095,0.24037037037037035,0.005454545454545455,1,0.07066666666666667,0.54,99,0.1952,-0.026481481,0.005454545454545455,1,0.08866666666666667,0.54,99,0.001,-0.35962963,0.005454545454545455,1,0.10666666666666667,0.541,99,0.7088,1.308317929759704,0.005464646464646465,1,0.1247,0.027,5,0.3468,-13.40740741,0.0054,1,0.1256,2.373,0,0,-0.146144121,2.373,0,0.2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,1.257,104,0.9512,0.7567223548130471,0.012086538461538461,1,0.0419,0.758,104,0.884,-0.088654354,0.007288461538461539,1,0.06716666666666667,0.757,104,1.5396,0.8660501981505946,0.007278846153846154,1,0.0924,0.758,104,0.5681,-1.281662269,0.007288461538461539,1,0.11766666666666666,0.757,104,0.2884,-0.369484808,0.007278846153846154,1,0.1429,0.758,104,0.995,0.9321899736147757,0.007288461538461539,1,0.16816666666666666,0.007,1,0.8788,-16.6,0.007,1,0.1684,3.37,0,0,-0.260771513,3.37,0,0.28073333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0.82,1,1.9225,2.3445121951219514,0.82,1,0.02733333333333333,0.35,1,1.5355,-1.105714286,0.35,1,0.039,0.395,1,1.2246,-0.787088608,0.395,1,0.05216666666666667,1.019,0,0,-1.201766438,1.019,0,0.08613333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,1.401,107,1.3576,0.9690221270521056,0.013093457943925234,1,0.0467,0.902,107,0.6349,-0.801219512,0.008429906542056075,1,0.07676666666666666,0.901,107,1.299,0.737069922308546,0.008420560747663551,1,0.1068,3.799,0,0,-0.341932087,3.799,0,0.23343333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,1.022,1,1.4849,1.45293542074364,1.022,1,0.03406666666666667,0.566,1,1.2038,-0.49664311,0.566,1,0.05293333333333334,0.526,1,0.958,-0.46730038,0.526,1,0.07046666666666666,0.674,0,0,-1.421364985,0.674,0,0.09293333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1.265,1,1.8269,1.4441897233201582,1.265,1,0.042166666666666665,0.787,1,1.4661,-0.458449809,0.787,1,0.0684,0.735,1,1.1719,-0.400272109,0.735,1,0.0929,0.765,1,0.9526,-0.286666667,0.765,1,0.1184,0.698,1,0.7605,-0.2752149,0.698,1,0.14166666666666666,1.267,0,0,-0.60023678,1.267,0,0.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,2.413,1,1.4479,0.6000414421881476,2.413,1,0.08043333333333333,1.856,1,1.1578,-0.156303879,1.856,1,0.1423,1.883,1,0.9254,-0.123420074,1.883,1,0.20506666666666667,1.837,1,0.7413,-0.100217746,1.837,1,0.2663,1.883,1,0.5932,-0.078651089,1.883,1,0.3290666666666667,0.652,0,0,-0.909815951,0.652,0,0.35079999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,2.156,1,1.3342,0.6188311688311688,2.156,1,0.07186666666666668,1.718,1,1.0812,-0.147264261,1.718,1,0.12913333333333335,1.707,1,0.8473,-0.137024019,1.707,1,0.18603333333333336,1.659,1,0.666,-0.1092827,1.659,1,0.24133333333333334,0.62,0,0,-1.074193548,0.62,0,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,2.107,1,1.3356,0.6338870431893686,2.107,1,0.07023333333333334,1.595,1,1.0525,-0.177492163,1.595,1,0.1234,1.619,1,0.8598,-0.119024089,1.619,1,0.17736666666666664,1.584,1,0.6812,-0.112752525,1.584,1,0.23016666666666669,1.556,1,0.5284,-0.098200514,1.556,1,0.28203333333333336,1.573,1,0.4276,-0.064081373,1.573,1,0.3344666666666667,1.453,0,0,-0.294287681,1.453,0,0.3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,1.331,62,0.271,0.20360631104432758,0.02146774193548387,1,0.044366666666666665,0.832,62,0.4309,0.19218749999999998,0.013419354838709676,1,0.0721,0.831,62,0.0801,-0.422141998,0.013403225806451612,1,0.09980000000000001,0.832,62,0.7571,0.8137019230769231,0.013419354838709676,1,0.12753333333333333,0.831,62,0.484,-0.328640193,0.013403225806451612,1,0.15523333333333333,0.832,62,0.001,-0.580528846,0.013419354838709676,1,0.18296666666666667,0.831,62,0.72,0.865222623345367,0.013403225806451612,1,0.21066666666666667,0.832,62,0.404,-0.379807692,0.013419354838709676,1,0.2384,0.067,5,0.4826,1.173134328358208,0.0134,1,0.24063333333333334,3.725,0,0,-0.129557047,3.725,0,0.3648
33,1,0,0,0,0,0,0,0,2.511,160,0.5338,0.2125846276383911,0.01569375,1,0.08370000000000001,2.012,160,0.001,-0.264811133,0.012575,1,0.15076666666666666,2.012,160,0.0351,0.01694831013916501,0.012575,1,0.21783333333333335,2.011,160,1.43,0.6936350074589757,0.01256875,1,0.28486666666666666,0.013,1,1.118,-24,0.013,1,0.2853,2.279,0,0,-0.490566038,2.279,0,0.3612666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,1.732,244,0.001,0.0005773672055427252,0.007098360655737705,1,0.05773333333333333,1.233,244,0.3354,0.2712084347120843,0.00505327868852459,1,0.09883333333333333,1.232,244,0.5193,0.14926948051948052,0.005049180327868852,1,0.1399,0.01,2,0.6412,12.190000000000001,0.005,1,0.14023333333333332,2.556,0,0,-0.25086072,2.556,0,0.22543333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,1.567,1,1.412,0.9010848755583918,1.567,1,0.05223333333333333,1.087,1,1.1164,-0.271941122,1.087,1,0.08846666666666667,1.072,1,0.8812,-0.219402985,1.072,1,0.1242,1.144,1,0.721,-0.140034965,1.144,1,0.16233333333333333,0.929,0,0,-0.776103337,0.929,0,0.1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,1.619,66,0.45,0.2779493514515133,0.02453030303030303,1,0.05396666666666667,1.118,66,0.0155,-0.388640429,0.01693939393939394,1,0.09123333333333333,1.119,66,0.3131,0.26595174262734583,0.016954545454545455,1,0.12853333333333333,1.119,66,1.4363,1.0037533512064343,0.016954545454545455,1,0.16583333333333333,1.119,66,0.9523,-0.432529044,0.016954545454545455,1,0.20313333333333333,0.068,4,0.001,-13.98970588,0.017,1,0.2054,2.386,0,0,-0.000419111,2.386,0,0.2849333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,1.018,1,1.7491,1.7181728880157172,1.018,1,0.033933333333333336,0.529,1,1.3992,-0.661436673,0.529,1,0.05156666666666666,0.524,1,1.1175,-0.53759542,0.524,1,0.06903333333333334,1.299,0,0,-0.860277136,1.299,0,0.11233333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0.899,62,0.1883,0.20945494994438263,0.0145,1,0.029966666666666666,0.4,62,0.4659,0.6939999999999998,0.0064516129032258064,1,0.0433,0.4,62,0.001,-1.16225,0.0064516129032258064,1,0.056633333333333334,0.399,62,0.5985,1.4974937343358397,0.006435483870967742,1,0.06993333333333333,0.4,62,0.2966,-0.75475,0.0064516129032258064,1,0.08326666666666667,0.4,62,1.162,2.1634999999999995,0.0064516129032258064,1,0.0966,0.399,62,0.8501,-0.781704261,0.006435483870967742,1,0.10990000000000001,0.02,3,0.3667,-24.17,0.006666666666666667,1,0.11056666666666667,3.698,0,0,-0.099161709,3.698,0,0.2338333333333333,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,1.964,1,1.3462,0.6854378818737271,1.964,1,0.06546666666666666,1.557,1,1.082,-0.169685292,1.557,1,0.11736666666666666,1.527,1,0.8764,-0.134643091,1.527,1,0.16826666666666668,1.475,1,0.7149,-0.109491525,1.475,1,0.2174333333333333,1.467,1,0.5651,-0.102113156,1.467,1,0.26633333333333337,1.511,1,0.4469,-0.07822634,1.511,1,0.3167,1.509,1,0.3588,-0.058383035,1.509,1,0.367,1.284,0,0,-0.279439252,1.284,0,0.4098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0.814,1,1.36,1.670761670761671,0.814,1,0.027133333333333332,0.408,1,1.0802,-0.685784314,0.408,1,0.04073333333333333,0.366,1,0.8674,-0.581420765,0.366,1,0.05293333333333334,0.318,1,0.7066,-0.505660377,0.318,1,0.06353333333333333,0.867,0,0,-0.814994233,0.867,0,0.09243333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,2.477,1,1.849,0.7464675010092855,2.477,1,0.08256666666666666,1.952,1,1.4978,-0.179918033,1.952,1,0.14763333333333334,1.98,1,1.2139,-0.143383838,1.98,1,0.21363333333333331,1.959,1,0.9855,-0.116590097,1.959,1,0.27893333333333337,1.971,1,0.7685,-0.110096398,1.971,1,0.34463333333333335,1.988,1,0.6268,-0.071277666,1.988,1,0.4109,1.252,0,0,-0.500638978,1.252,0,0.45263333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
