label,len,t0_event,t0_dur,t0_cpu,t0_io,t0_days,t0_area,t0_rec,t0_exp,t1_event,t1_dur,t1_cpu,t1_io,t1_days,t1_area,t1_rec,t1_exp,t2_event,t2_dur,t2_cpu,t2_io,t2_days,t2_area,t2_rec,t2_exp,t3_event,t3_dur,t3_cpu,t3_io,t3_days,t3_area,t3_rec,t3_exp,t4_event,t4_dur,t4_cpu,t4_io,t4_days,t4_area,t4_rec,t4_exp,t5_event,t5_dur,t5_cpu,t5_io,t5_days,t5_area,t5_rec,t5_exp,t6_event,t6_dur,t6_cpu,t6_io,t6_days,t6_area,t6_rec,t6_exp,t7_event,t7_dur,t7_cpu,t7_io,t7_days,t7_area,t7_rec,t7_exp,t8_event,t8_dur,t8_cpu,t8_io,t8_days,t8_area,t8_rec,t8_exp,t9_event,t9_dur,t9_cpu,t9_io,t9_days,t9_area,t9_rec,t9_exp,t10_event,t10_dur,t10_cpu,t10_io,t10_days,t10_area,t10_rec,t10_exp,t11_event,t11_dur,t11_cpu,t11_io,t11_days,t11_area,t11_rec,t11_exp,t12_event,t12_dur,t12_cpu,t12_io,t12_days,t12_area,t12_rec,t12_exp,t13_event,t13_dur,t13_cpu,t13_io,t13_days,t13_area,t13_rec,t13_exp,t14_event,t14_dur,t14_cpu,t14_io,t14_days,t14_area,t14_rec,t14_exp,t15_event,t15_dur,t15_cpu,t15_io,t15_days,t15_area,t15_rec,t15_exp,t16_event,t16_dur,t16_cpu,t16_io,t16_days,t16_area,t16_rec,t16_exp,t17_event,t17_dur,t17_cpu,t17_io,t17_days,t17_area,t17_rec,t17_exp,t18_event,t18_dur,t18_cpu,t18_io,t18_days,t18_area,t18_rec,t18_exp,t19_event,t19_dur,t19_cpu,t19_io,t19_days,t19_area,t19_rec,t19_exp
0,23,1,0,33.24,1.0,0,0,0,0.0,2,0,5.089,1.0,0,5000,0,1.913,4,2000.886,54.078,0.847,0,0,5000,0.0,4,2616.328,47.286,0.959,0,0,5000,0.0,4,1660.794,12.814,0.975,0,0,5000,0.02,4,1845.309,68.362,0.892,0,0,5000,3.101,4,1924.018,34.174,0.857,0,0,5000,6.902,4,2071.341,48.361,0.939,0,0,5000,0.0,4,2016.353,24.182,0.939,0,0,5000,11.571,4,2329.864,28.714,0.954,0,0,5000,11.097,4,2540.465,43.05,0.807,0,0,5000,0.0,4,2482.321,71.334,0.852,0,0,5000,7.1,4,1867.65,50.497,0.811,0,0,5000,0.0,4,1341.998,36.409,0.852,0,0,5000,2.681,4,2353.987,30.345,0.879,0,0,5000,0.0,4,2595.103,42.934,0.943,0,0,5000,15.929,4,1842.321,40.383,0.819,0,0,5000,15.349,4,1970.093,29.415,0.91,0,0,5000,4.333,4,1454.924,51.934,0.89,0,0,5000,0.0,4,1749.335,99.065,0.81,0,0,5000,0.0
1,7,1,0,0.0,1.0,0,0,0,0.0,2,0,2.049,1.0,10,200,0,0.458,3,0.0,35.281,0.0,0,0,20000,0.158,5,3833.532,73.803,1.0,0,0,1,0.0,5,4498.12,87.785,1.0,0,0,1,0.0,5,3679.382,100.0,1.0,0,0,1,0.0,7,0.0,16.378,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,32,1,0,0.0,1.0,0,0,0,3.207,2,0,12.466,1.0,28,1000,0,0.0,3,0.0,43.639,0.003,0,0,20000,0.0,5,1839.734,63.467,1.0,0,0,1,8.902,5,1803.254,64.069,1.0,0,0,1,0.0,5,649.115,62.523,1.0,0,0,1,0.0,5,1691.82,23.664,1.0,0,0,1,2.788,5,1033.682,13.663,1.0,0,0,1,0.0,5,1222.562,49.601,1.0,0,0,1,0.85,5,1218.341,36.631,1.0,0,0,1,0.0,5,1914.389,68.717,1.0,0,0,1,0.0,5,1979.219,51.255,1.0,0,0,1,11.992,5,1989.926,75.426,1.0,0,0,1,0.0,5,2574.522,72.296,1.0,0,0,1,0.0,5,1415.18,64.369,1.0,0,0,1,0.0,5,1578.761,38.315,1.0,0,0,1,0.0,5,1160.792,81.026,1.0,0,0,1,0.0,5,1036.281,71.038,1.0,0,0,1,13.565,5,940.038,89.401,1.0,0,0,1,5.484,5,1944.967,72.388,1.0,0,0,1,0.0
0,9,1,0,0.0,1.0,0,0,0,2.705,2,0,8.39,1.0,5,452,0,0.0,3,0.0,36.493,0.001,0,0,10000,0.0,5,2475.74,89.732,1.0,0,0,1,0.0,5,3829.524,90.365,1.0,0,0,1,0.0,5,3683.558,68.261,1.0,0,0,1,2.622,5,3393.183,60.451,1.0,0,0,1,4.416,5,4454.112,99.937,1.0,0,0,1,5.439,7,0.0,14.555,1.0,0,0,0,46.248,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,9,1,0,0.0,1.0,0,0,0,2.876,2,0,14.447,1.0,6,294,0,2.569,3,0.0,35.06,0.001,0,0,10000,6.785,5,3752.134,89.81,1.0,0,0,1,0.732,5,3747.955,49.354,1.0,0,0,1,0.0,5,2626.38,63.201,1.0,0,0,1,0.0,5,2784.142,90.269,1.0,0,0,1,0.0,5,3832.521,80.066,1.0,0,0,1,0.0,7,0.0,15.692,1.0,0,0,0,54.487,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,21,1,0,0.0,1.0,0,0,0,0.0,2,0,11.029,1.0,138,5000,0,3.239,4,2014.161,45.931,0.915,0,0,5000,0.0,4,2174.578,47.23,0.891,0,0,5000,9.394,4,2718.104,65.833,0.966,0,0,5000,3.613,4,2700.911,31.976,0.825,0,0,5000,0.0,4,1783.065,25.803,0.805,0,0,5000,0.0,4,2826.206,57.742,0.803,0,0,5000,3.629,4,1664.204,31.793,0.907,0,0,5000,0.0,4,2300.8,39.15,0.838,0,0,5000,9.199,4,3084.39,36.902,0.96,0,0,5000,4.643,4,2020.662,21.904,0.876,0,0,5000,6.901,4,2371.124,82.091,0.833,0,0,5000,11.526,4,1663.968,73.732,0.84,0,0,5000,2.353,4,1601.563,38.623,0.805,0,0,5000,0.0,4,1459.874,66.451,0.944,0,0,5000,0.0,4,2721.102,54.756,0.978,0,0,5000,13.228,4,1520.845,71.881,0.915,0,0,5000,0.0,4,1752.585,10.092,0.892,0,0,5000,4.251,4,1776.019,61.017,0.908,0,0,5000,0.0
0,33,1,0,0.0,1.0,0,0,0,0.0,2,0,1.783,1.0,180,5000,0,3.318,4,1602.123,52.628,0.872,0,0,5000,0.0,4,1031.48,27.478,0.947,0,0,5000,0.0,4,2738.164,66.829,0.877,0,0,5000,0.0,4,1600.802,25.834,0.97,0,0,5000,0.034,4,2907.685,40.095,0.864,0,0,5000,0.0,4,2565.857,58.392,0.909,0,0,5000,10.022,4,1963.279,54.112,0.964,0,0,5000,0.0,4,1386.033,57.937,0.865,0,0,5000,0.0,4,2107.445,74.101,0.925,0,0,5000,0.0,4,2549.73,57.958,0.874,0,0,5000,0.207,4,2207.366,18.747,0.865,0,0,5000,0.0,4,1833.29,54.316,0.885,0,0,5000,2.85,4,2579.613,6.694,0.935,0,0,5000,0.0,4,1922.737,48.889,0.96,0,0,5000,9.23,4,1492.828,29.584,0.976,0,0,5000,11.976,4,1866.089,67.052,0.98,0,0,5000,0.0,4,1153.162,59.748,0.829,0,0,5000,0.0,4,1518.381,42.603,0.872,0,0,5000,12.144
0,9,1,0,0.0,1.0,0,0,0,0.0,2,0,0.0,1.0,9,358,0,0.0,3,0.0,33.138,0.002,0,0,10000,1.66,5,3058.484,92.075,1.0,0,0,1,0.656,5,3112.254,69.57,1.0,0,0,1,1.075,5,5592.503,92.841,1.0,0,0,1,0.0,5,3294.853,68.959,1.0,0,0,1,9.053,5,3443.345,100.0,1.0,0,0,1,3.013,7,0.0,11.742,1.0,0,0,0,30.131,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,9,1,0,6.249,1.0,0,0,0,0.0,2,0,10.156,1.0,8,113,0,4.919,3,0.0,45.403,0.001,0,0,10000,0.0,5,3673.423,100.0,1.0,0,0,1,17.108,5,3131.385,65.582,1.0,0,0,1,7.237,5,5270.703,97.375,1.0,0,0,1,0.0,5,5322.254,94.989,1.0,0,0,1,0.381,5,3476.574,61.149,1.0,0,0,1,6.073,7,0.0,20.208,1.0,0,0,0,58.554,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,30,1,0,4.009,1.0,0,0,0,2.149,2,0,9.774,1.0,36,1000,0,0.0,3,0.0,40.028,0.008,0,0,20000,13.398,5,1831.143,27.325,1.0,0,0,1,6.715,5,1779.948,39.799,1.0,0,0,1,0.0,5,1466.381,55.833,1.0,0,0,1,0.0,5,1957.629,68.424,1.0,0,0,1,13.07,5,1008.873,68.993,1.0,0,0,1,0.0,5,1051.832,40.904,1.0,0,0,1,0.0,5,1680.26,73.138,1.0,0,0,1,5.043,5,1730.942,84.155,1.0,0,0,1,25.556,5,792.624,61.3,1.0,0,0,1,0.0,5,1323.716,53.409,1.0,0,0,1,0.889,5,969.631,41.82,1.0,0,0,1,0.0,5,1082.253,55.371,1.0,0,0,1,6.435,5,1551.847,48.856,1.0,0,0,1,0.0,5,1777.183,57.062,1.0,0,0,1,0.0,5,2131.746,95.116,1.0,0,0,1,10.195,5,1421.97,46.793,1.0,0,0,1,6.189,5,1975.264,52.326,1.0,0,0,1,10.361
1,7,1,0,0.0,1.0,0,0,0,8.897,2,0,13.133,1.0,10,200,0,0.0,3,0.0,14.178,0.0,0,0,20000,0.0,5,2903.786,73.592,1.0,0,0,1,0.0,5,2470.512,73.247,1.0,0,0,1,14.29,5,3947.887,100.0,1.0,0,0,1,10.458,7,0.0,3.867,1.0,0,0,0,8.496,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,35,1,0,0.0,1.0,0,0,0,0.272,2,0,0.0,1.0,85,5000,0,2.099,4,2418.376,8.933,0.889,0,0,5000,0.0,4,2164.237,51.282,0.86,0,0,5000,2.395,4,1608.919,67.196,0.943,0,0,5000,15.076,4,2983.335,45.928,0.831,0,0,5000,5.953,4,2443.766,51.46,0.972,0,0,5000,0.0,4,2824.719,34.943,0.864,0,0,5000,0.0,4,1620.628,47.662,0.883,0,0,5000,4.132,4,1447.678,41.094,0.897,0,0,5000,0.0,4,1743.761,64.926,0.931,0,0,5000,3.692,4,2135.649,73.536,0.951,0,0,5000,4.02,4,1999.831,47.268,0.887,0,0,5000,1.533,4,1535.661,35.695,0.845,0,0,5000,15.691,4,1953.516,52.691,0.864,0,0,5000,0.0,4,1875.407,54.841,0.803,0,0,5000,14.798,4,2028.546,32.946,0.928,0,0,5000,0.0,4,2046.548,22.705,0.805,0,0,5000,2.814,4,2160.351,16.763,0.898,0,0,5000,18.61,4,2424.545,54.97,0.884,0,0,5000,4.277
1,31,1,0,10.834,1.0,0,0,0,8.262,2,0,0.0,1.0,0,1000,0,0.0,3,0.0,2.098,0.011,0,0,20000,8.548,5,1007.207,68.46,1.0,0,0,1,5.988,5,899.275,57.784,1.0,0,0,1,0.0,5,1312.903,21.298,1.0,0,0,1,9.041,5,2033.737,55.516,1.0,0,0,1,2.977,5,2356.651,67.223,1.0,0,0,1,0.0,5,1304.147,76.126,1.0,0,0,1,0.0,5,1563.498,25.391,1.0,0,0,1,0.0,5,1685.721,41.222,1.0,0,0,1,0.0,5,1669.271,37.213,1.0,0,0,1,0.0,5,1466.014,63.83,1.0,0,0,1,0.0,5,1893.955,58.576,1.0,0,0,1,4.176,5,984.958,65.551,1.0,0,0,1,11.314,5,1151.353,63.124,1.0,0,0,1,15.031,5,1302.037,33.713,1.0,0,0,1,0.0,5,923.372,41.262,1.0,0,0,1,2.935,5,919.664,56.418,1.0,0,0,1,0.0,5,1375.684,41.85,1.0,0,0,1,0.0
1,7,1,0,0.0,1.0,0,0,0,15.459,2,0,1.333,1.0,10,200,0,0.0,3,0.0,5.993,0.0,0,0,20000,0.0,5,4602.196,89.693,1.0,0,0,1,0.0,5,5861.389,77.605,1.0,0,0,1,0.0,5,4572.649,94.409,1.0,0,0,1,0.0,7,0.0,0.619,1.0,0,0,0,3.822,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
